metric_workflow,metric_step,metric_type,metric_group,metric_name,metric_value
Test,login,TIMING,total,max,4.773167859995738
Test,login,TIMING,total,min,0.0353420159954112
Test,login,TIMING,total,mean,0.14125465257626835
Test,login,TIMING,total,med,0.055983184749493375
Test,login,TIMING,total,stdev,0.2171958540346379
Test,login,TIMING,total,var,0.047177358862332035
Test,login,TIMING,total,mad,0.1278767854240751
Test,login,DISTRIBUTION,total,10th_quantile,0.0393270186483278
Test,login,DISTRIBUTION,total,20th_quantile,0.0410548106970964
Test,login,DISTRIBUTION,total,25th_quantile,0.04210877423611237
Test,login,DISTRIBUTION,total,30th_quantile,0.04341483125463128
Test,login,DISTRIBUTION,total,40th_quantile,0.047412599192466584
Test,login,DISTRIBUTION,total,50th_quantile,0.055983184749493375
Test,login,DISTRIBUTION,total,60th_quantile,0.07481118399591649
Test,login,DISTRIBUTION,total,70th_quantile,0.1024975820429972
Test,login,DISTRIBUTION,total,75th_quantile,0.11992325499886647
Test,login,DISTRIBUTION,total,80th_quantile,0.14312239610007965
Test,login,DISTRIBUTION,total,90th_quantile,0.38775485359365136
Test,login,DISTRIBUTION,total,99th_quantile,1.0129151924462354
Test,login,TIMING,connecting,max,3.864665919012623
Test,login,TIMING,connecting,min,3.722991095855832e-06
Test,login,TIMING,connecting,mean,0.0021345451364766766
Test,login,TIMING,connecting,med,1.6818492440506816e-05
Test,login,TIMING,connecting,stdev,0.05443905366993243
Test,login,TIMING,connecting,var,0.0029651769994965896
Test,login,TIMING,connecting,mad,0.004222705668459064
Test,login,DISTRIBUTION,connecting,10th_quantile,7.429756806232035e-06
Test,login,DISTRIBUTION,connecting,20th_quantile,1.0707604815252125e-05
Test,login,DISTRIBUTION,connecting,25th_quantile,1.2624499504454434e-05
Test,login,DISTRIBUTION,connecting,30th_quantile,1.4154496602714061e-05
Test,login,DISTRIBUTION,connecting,40th_quantile,1.5665500541217625e-05
Test,login,DISTRIBUTION,connecting,50th_quantile,1.6818492440506816e-05
Test,login,DISTRIBUTION,connecting,60th_quantile,1.8326012650504708e-05
Test,login,DISTRIBUTION,connecting,70th_quantile,2.0707010116893797e-05
Test,login,DISTRIBUTION,connecting,75th_quantile,2.2169508156366646e-05
Test,login,DISTRIBUTION,connecting,80th_quantile,2.3780009360052646e-05
Test,login,DISTRIBUTION,connecting,90th_quantile,3.0152895487844953e-05
Test,login,DISTRIBUTION,connecting,99th_quantile,5.170422504306772e-05
Test,login,TIMING,writing,max,0.0011816539918072522
Test,login,TIMING,writing,min,3.7720019463449717e-06
Test,login,TIMING,writing,mean,2.608267347465586e-05
Test,login,TIMING,writing,med,2.2706757590640336e-05
Test,login,TIMING,writing,stdev,1.5887624978224648e-05
Test,login,TIMING,writing,var,2.52416675128638e-10
Test,login,TIMING,writing,mad,1.1092279618289197e-05
Test,login,DISTRIBUTION,writing,10th_quantile,8.37889383547008e-06
Test,login,DISTRIBUTION,writing,20th_quantile,1.5144902863539756e-05
Test,login,DISTRIBUTION,writing,25th_quantile,1.7975253285840154e-05
Test,login,DISTRIBUTION,writing,30th_quantile,1.9113390590064227e-05
Test,login,DISTRIBUTION,writing,40th_quantile,2.0909507293254136e-05
Test,login,DISTRIBUTION,writing,50th_quantile,2.2706757590640336e-05
Test,login,DISTRIBUTION,writing,60th_quantile,2.530280326027423e-05
Test,login,DISTRIBUTION,writing,70th_quantile,3.0232440622057756e-05
Test,login,DISTRIBUTION,writing,75th_quantile,3.322875272715464e-05
Test,login,DISTRIBUTION,writing,80th_quantile,3.688549622893334e-05
Test,login,DISTRIBUTION,writing,90th_quantile,4.528649878920987e-05
Test,login,DISTRIBUTION,writing,99th_quantile,7.288832173799173e-05
Test,login,TIMING,reading,max,3.274679444002686
Test,login,TIMING,reading,min,0.035327845020219684
Test,login,TIMING,reading,mean,0.13920525207401108
Test,login,TIMING,reading,med,0.05585636325122323
Test,login,TIMING,reading,stdev,0.21123788559892356
Test,login,TIMING,reading,var,0.04462196531853056
Test,login,TIMING,reading,mad,0.124977512463604
Test,login,DISTRIBUTION,reading,10th_quantile,0.03927519239950925
Test,login,DISTRIBUTION,reading,20th_quantile,0.04099907519703265
Test,login,DISTRIBUTION,reading,25th_quantile,0.04205657800412155
Test,login,DISTRIBUTION,reading,30th_quantile,0.043357430906326044
Test,login,DISTRIBUTION,reading,40th_quantile,0.047351085991249424
Test,login,DISTRIBUTION,reading,50th_quantile,0.05585636325122323
Test,login,DISTRIBUTION,reading,60th_quantile,0.07442432579700833
Test,login,DISTRIBUTION,reading,70th_quantile,0.10189213975681922
Test,login,DISTRIBUTION,reading,75th_quantile,0.11917008575983346
Test,login,DISTRIBUTION,reading,80th_quantile,0.14208986789744815
Test,login,DISTRIBUTION,reading,90th_quantile,0.3805900157487486
Test,login,DISTRIBUTION,reading,99th_quantile,0.9939062695215402
Test,login,COUNT,counts,succeeded,1739710
Test,login,COUNT,counts,failed,1944
Test,login,COUNT,counts,executed,1741654
Test,login,COUNT,counts,statuses,"{200: 1739710, 502: 1944}"
Test,login,COUNT,counts,status_200,1739710
Test,login,COUNT,counts,status_502,1944
